nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category
ROEMAH LEGIT,JL. EMBONG NO.15,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
AYAM GEPREK REMPAH NARIPAN,JL. NARIPAN NO.34,sumur bandung,1.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Low (≤3.5)
MEATSOLOGIST STEAK HALL,"THE HALLWAY SPACE, PS. KOSAMBI, JL. A. YANI LANTAI 2",sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
28 KOPI,JL. VETERAN NO.28,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
PIZZA RIVERSIDE,JL. VETERAN NO.37,sumur bandung,4.471320754716982,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
SOP BUNTUT SAPI HJ. INE,"JL. A. YANI NO.29B, RT.001/RW.002",sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
SATE BANG ROHIM NARIPAN,JL. NARIPAN NO.57-61,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
KITCHEN HUB,JL. SUNDA NO.69,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
SOONYOTO,PS. KOSAMBI,sumur bandung,4.471320754716982,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
NATUNA SEAFOOD,JL. NATUNA NO.7,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
ANEKA 38 SEAFOOD BANDUNG,JL. SUMATERA NO.18,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
GLUTEN FREE COOKIES NOII'S KITCHEN,JL. EMBONG NO.16,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
BATAGOR KINGSLEY,JL. VETERAN NO.25,sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
ACUS DAPUR NUSANTARA,"RUKO ITC KOSAMBI, JL. BARANANG SIANG NO.12 BLOK G",sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
WARTEG IBU BROTO,"3JM9+2M3, ALUN ALUN BELAKANG JIWASRAYA",sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
WARUNG NASI BU CUCU,"3JJ9+FQW, JL. BARANANG SIANG",sumur bandung,4.471320754716982,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
NASI GORENG KAMBING PUTRA BANYUMAS,"ITC KOSAMBI, DPAN, JL. BARANANG SIANG",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
MIE BASO CEKER LESGAR,"PS. KOSAMBI, DEPAN, JL. BARANANG SIANG NO.1",sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
MIE BASO SAPI MANG EMAN,JL. BARANANG SIANG NO.4,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
MIE BASO CAMPUR BUNGSU,JL. VETERAN NO.46,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
BAKSO KUMKUM,JL. SURAREJA,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
WARUNG BI EEM,JL. PANAITAN NO.22,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
MIE BASO RASIMAN,JL. VETERAN NO.111,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
MIE BASO OPUNG,JL. BARANANG SIANG NO.36,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
NASI GORENG YONAN,"JL. BARANANG SIANG NO.GANG, RT.07/RW.10",sumur bandung,3.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0)
WARUNG NASI IBU ENCUM,JL. BARANANG SIANG NO.34B,sumur bandung,4.471320754716982,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
PEMPEK 10 ULU PAK ANANG,JL. SUNDA NO.67,sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
IKAN LAUT BAKAR SUNDA RASA,JL. CIBUNUT NO.34,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
ANGKRINGAN SCOOTER,JL. VETERAN NO.74,sumur bandung,4.4,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
SABANA KAPAU BARANANGSIANG,JL. BARANANG SIANG NO.5,sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
NASI GORENG PA WAWAN,JL. SUNDA,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
MARTABAK BANDUNG 89,JL. SUNDA NO.86,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
KANTIN IBU ERNA,JL. SUNDA NO.66,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
WARNAS SUKASARI,JL. RAJAMANTRI WETAN DEPAN NO 17 BUAH BATU,lengkong,4.521932114882507,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.0484178421654597,43.0,41.0,Very High (4.5-5.0)
GANETO RUMAH MAKAN,"JL. NARIPAN NO. 147 KEBON PISANG SUMURBANDUNG BANDUNG JAWA
  BARAT",sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
WARUNG NASI MA ILOH,JL. BARANANG SIANG NO.22,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
BATAGOR RIASARI,JL. VETERAN,sumur bandung,3.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0)
NASI GORENG NAHDIA PUTRI BERKAH,JL. BARANANG SIANG NO.104,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
PECEL LELE SABAR,JL. BARANANG SIANG,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
BU WAHYU AYAM PENYET,"FOODLIFE TOSERBA YOGYA SUNDA, JL. SUNDA NO.60",sumur bandung,3.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Low (≤3.5)
"PEMPEK ""MURNI"" PALEMBANG","DEPAN, JL. BARANANG SIANG NO.4",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
PINUKKA CATERING & RESTO,JL. NARIPAN NO.131,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
WARUNG SATE HM HARRIS,JL. ASIA AFRIKA NO.155,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
