kecamatan,nama_taman,luas,type
BOJONGLOA KIDUL,TAMAN RW.02 KOMP. CIBADUYUT PERMAI,150,city_park
BOJONGLOA KIDUL,TAMAN KOPO/ SOEKARNO HATTA,148,city_park
BOJONGLOA KIDUL,TAMAN LINGKAR SELATAN/KOPO,128,city_park
BOJONGLOA KIDUL,TAMAN JL. MUARA SARI RW. 11 KEL. KEBONLEGA,100,city_park
BOJONGLOA KIDUL,TAMAN LEUWIPANJANG/LINGKAR SELATAN,90.7,city_park
BUAHBATU,TAMAN BLOK K,3879,city_park
BUAHBATU,TAMAN BLOK Q A,1637,city_park
BUAHBATU,TAMAN BLOK E II,1539,city_park
BUAHBATU,TAMAN BLOK A DAN B,1499,city_park
BUAHBATU,TAMAN BLOK P,1486,city_park
BUAHBATU,TAMAN BLOK Y A,1182,city_park
BUAHBATU,TAMAN RANCABOLANG,1175,city_park
BUAHBATU,TAMAN BLOK R A,1010.22,city_park
BUAHBATU,TAMAN BLOK W,980,city_park
BUAHBATU,TAMAN BLOK D II C,948,city_park
BUAHBATU,TAMAN BLOK R/O,938.55,city_park
BUAHBATU,TAMAN BLOK D II I,902,city_park
BUAHBATU,TAMAN BLOK B B,900,city_park
BUAHBATU,TAMAN BLOK P C,800,city_park
BUAHBATU,TAMAN BLOK S A,706.46,city_park
BUAHBATU,TAMAN BLOK S B,680,city_park
BUAHBATU,TAMAN BLOK D II A,670,city_park
BUAHBATU,TAMAN BLOK D II D,649,city_park
BUAHBATU,TAMAN BLOK Q B,648,city_park
BUAHBATU,TAMAN BLOK N,600,city_park
BUAHBATU,TAMAN SARINAH BLOK G,476,city_park
BUAHBATU,TAMAN BLOK Z A,460,city_park
BUAHBATU,TAMAN BLOK D II J,456,city_park
BUAHBATU,TAMAN BLOK D II G,437,city_park
BUAHBATU,TAMAN BLOK D II H,413,city_park
BUAHBATU,TAMAN BLOK Q C,408,city_park
BUAHBATU,TAMAN BLOK P A,376.49,city_park
BUAHBATU,TAMAN BLOK B A,349,city_park
BUAHBATU,TAMAN BLOK R B,320.64,city_park
BUAHBATU,TAMAN BLOK P B,298.11,city_park
BUAHBATU,TAMAN BLOK U,236,city_park
BUAHBATU,TAMAN BLOK D II F,190,city_park
BUAHBATU,TAMAN DI JL. BUNGA BAKUNG RW. 07,150,city_park
BUAHBATU,TAMAN BLOK O,147.23,city_park
BUAHBATU,TAMAN JUPITER UTAMA,92,city_park
BUAHBATU,TAMAN BLOK D II E,80,city_park
BUAHBATU,TAMAN BLOK D II B,60,city_park
CIBEUNYING KALER,LAPANG TIKUKUR,12500,city_park
CIBEUNYING KALER,LAPANGAN OLAHRAGA,5878,city_park
CIBEUNYING KALER,JALUR PAHLAWAN,3000,city_park
CIBEUNYING KALER,TAMAN KOMPLEK VILLA ASRI,1978.43,city_park
CIBEUNYING KALER,TAMAN LOMBOK,1713.5,city_park
CIBEUNYING KALER,TAMAN SIDOLUHUR,1425,city_park
CIBEUNYING KALER,TAMAN SURAPATI,1350,city_park
CIBEUNYING KALER,TAMAN BATIK TIGA NEGRI,1246.25,city_park
CIBEUNYING KALER,TAMAN MERAK,1021,city_park
CIBEUNYING KALER,TAMAN RW.02 KEL. NEGLASARI,220,city_park
CIBEUNYING KALER,TAMAN TITIRAN,210,city_park
CIBEUNYING KALER,TAMAN SUPRATMAN/WARGA,175,city_park
CIBEUNYING KALER,TAMAN SUDUT SUCI,116,city_park
CIBIRU,TAMAN JALUR CIBIRU,3312,city_park
CIBIRU,TAMAN PULAU JALAN CIBIRU III,1965,city_park
CIBIRU,TAMAN PULAU JALAN CIBIRU II,1438,city_park
CIBIRU,TAMAN PULAU JALAN CIBIRU V,693,city_park
CIBIRU,TAMAN PULAU JALAN CIBIRU I,676,city_park
CIBIRU,TAMAN PULAU JALAN CIBIRU IV,325,city_park
CIBIRU,TAMAN RW.03 KEL. CISURUPAN,140,city_park
CIBIRU,TAMAN RW.05 KEL. PALASARI,120,city_park
CICENDO,TAMAN GOR PADJADJARAN,5745.07,city_park
CICENDO,TAMAN LAPANGAN OLAH RAGA MAHMUD,5330,city_park
CICENDO,LAPANGAN JATAYU,4666.5,city_park
CICENDO,LAP. KEMBAR EMPAT,4488,city_park
CICENDO,TAMAN PENDAWA,3861.74,city_park
CICENDO,TAMAN DR. OTTEN 1,3171.08,city_park
CICENDO,TAMAN DR. HATTA,2808.07,city_park
CICENDO,TAMAN ABD. RACHMAN SALEH,1959.06,city_park
CICENDO,TAMAN ADIPURA,1865.3,city_park
CICENDO,TAMAN LESMANA,1844,city_park
CICENDO,TAMAN DR. CIPTO,1709.18,city_park
CICENDO,TAMAN MONUMEN KTT NON BLOK,1526.73,city_park
CICENDO,TAMAN PANDU GEREJA,988,city_park
CICENDO,TAMAN CURIE,974.04,city_park
CICENDO,TAMAN DR. RAJIMAN,895.5,city_park
CICENDO,TAMAN SUPADIO I,858.75,city_park
CICENDO,TAMAN ABDUL RIVA'I,671.7,city_park
CICENDO,TAMAN NURTANIO (JALUR),567.75,city_park
CICENDO,TAMAN BIMA,555,city_park
CICENDO,TAMAN PATUNG HUSEIN,518.25,city_park
CICENDO,TAMAN BROUNSWEIGH,490.25,city_park
CICENDO,TAMAN SUPADIO II,431.5,city_park
CICENDO,TAMAN ERLIGH,391,city_park
CICENDO,TAMAN SUDUT KEBON KAWUNG/PASIRKALIKI,362.7,city_park
CICENDO,TAMAN ARJUNA/PENDAWA,341.4,city_park
CICENDO,TAMAN BUNDERAN ARJUNA,225,city_park
CICENDO,PULAU JALAN WESTHCOOP I,183.06,city_park
CICENDO,PULAU JALAN WESTHCOOP II,137.5,city_park
CICENDO,TAMAN BIMA/KRESNA,117.45,city_park
CICENDO,TAMAN PANDU/PADJADJARAN,82.25,city_park
CICENDO,TAMAN DR. OTTEN 2,58,city_park
CIDADAP,TAMAN CIUMBULEUIT 2 (TAMAN KOLAM),5120,city_park
CIDADAP,TAMAN RANCABENTANG,2198.98,city_park
CIDADAP,TAMAN HEGARMANAH LAPANG VOLLI,1576,city_park
CIDADAP,TAMAN HEGARMANAH TUGU,587.6,city_park
CIDADAP,TAMAN SANIROSA,135,city_park
CIDADAP,TAMAN CIUMBULEUIT 1,78.5,city_park
CIDADAP,TAMAN HEGARMANAH TENGAH,70,city_park
CIDADAP,TAMAN HEGARMANAH,0,city_park
CINAMBO,JALUR SAMPING UTARA,3628,city_park
CINAMBO,TAMAN DEPAN PASAR,895,city_park
CINAMBO,TAMAN PULAU JALAN GEDEBAGE,568,city_park
CINAMBO,TAMAN SAMPING BARAT (DEPAN MESJID),441,city_park
CINAMBO,JALUR DEPAN PASAR,213,city_park
CINAMBO,TAMAN RW. 03 KEL. BABAKAN PENGHULU,200,city_park
CINAMBO,TAMAN RW. 05 KEL. RANCABOLANG,200,city_park
COBLONG,TAMAN MONUMEN PERJUANGAN RAKYAT JABAR,83100,city_park
COBLONG,LAPANG LEBAK SILIWANGI,71568.13,city_park
COBLONG,KEBUN BINATANG,35874.67,city_park
COBLONG,TAMAN BABAKAN SILIWANGI,23052,city_park
COBLONG,TAMAN GANESHA,9612,city_park
COBLONG,TAMAN JL. TEUKU UMAR,3614,city_park
COBLONG,TAMAN HASANUDIN,3400,city_park
COBLONG,TAMAN DAGO ATAS,2760,city_park
COBLONG,TAMAN EKS SPBU CIKAPAYANG,2490,city_park
COBLONG,TAMAN HEWAN,2456,city_park
COBLONG,TAMAN TILIL,2422.06,city_park
COBLONG,TAMAN PANATAYUDA,2387,city_park
COBLONG,JALUR DAGO,2156,city_park
COBLONG,TAMAN GELAP NYAWANG,1656.4,city_park
COBLONG,TAMAN BAGUSRANGIN,1560,city_park
COBLONG,JALUR SETIABUDI - CIHAMPELAS,965,city_park
COBLONG,TAMAN SINGAPERBANGSA,800,city_park
COBLONG,TAMAN PUSKESMAS KEBONLEGA,800,city_park
COBLONG,TAMAN DAYANG SUMBI/TAMANSARI,754.6,city_park
COBLONG,TAMAN BAPAK HUSEN,639,city_park
COBLONG,TAMAN DIPATIUKUR,556.5,city_park
COBLONG,TAMAN KELUARGA BERENCANA,410,city_park
COBLONG,TAMAN PULAU JALAN PASUPATI,384,city_park
COBLONG,TAMAN CIHAMPELAS/SETIABUDI (KEL. SEJAHTERA),365,city_park
COBLONG,BAK BUNGA JALAN PASUPATI,350,city_park
COBLONG,TM. PULAU JL. TAMANSARI-SUMUR BANDUNG,244.74,city_park
COBLONG,TAMAN SILIWANGI/SUMUR BANDUNG,185.5,city_park
COBLONG,JALUR SILIWANGI,150.12,city_park
COBLONG,BAK BUNGA BBK. SILIWANGI,134.6,city_park
COBLONG,TAMAN TUBAGUS ISMAIL,86,city_park
COBLONG,TAMAN SILIWANGI,81,city_park
COBLONG,TAMAN SILIWANGI/SANGKURIANG,59.4,city_park
COBLONG,TAMAN PERUMNAS,45,city_park
COBLONG,TAMAN JALUR GELAP NYAWANG,44,city_park
COBLONG,TAMAN PULAU JALAN TAMANSARI,36,city_park
COBLONG,BAK BUNGA POT SIMPANG,34,city_park
COBLONG,TAMAN PULAU JALAN IR. H. DJUANDA,32,city_park
KIARACONDONG,JALUR TERUSAN JL. KIARACONDONG,3790.5,city_park
KIARACONDONG,TAMAN 5,1863.78,city_park
KIARACONDONG,TAMAN DAN LAPANGAN TENIS,1313.78,city_park
KIARACONDONG,TAMAN BELAKANG,886.34,city_park
KIARACONDONG,TAMAN DEPAN (GSB KIRI DAN GSB KANAN),239.25,city_park
KIARACONDONG,JALUR HIJAU BUNDARAN BOULEVARD I,154.5,city_park
KIARACONDONG,JALUR HIJAU KOMPLEK RUKO,123.12,city_park
KIARACONDONG,JALUR HIJAU BUNDERAN RUKO,84.92,city_park
KIARACONDONG,JALUR HIJAU TAMAN BOULEVARD 3,58.51,city_park
