nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,kategori_resto_encoded,price_range_encoded,dataset_version,training_date,success_category,composite_score
BASO TAHU & SIOMAY BAROKAH PAK ROJI,"3JP8+7XQ, JL. BALI",sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,118,8,2.0,enriched_v1.0,2025-07-09,Low,0.6159156171284634
WARUNG NASI HIQMAH,JL. BALI NO.2,sumur bandung,3.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Local Food,425,7,2.0,enriched_v1.0,2025-07-09,Low,0.5026952141057934
SOTO MIE BOGOR SADULUR LANANG,JL. GUDANG SELATAN NO.22,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,60,8,2.0,enriched_v1.0,2025-07-09,High,0.7016624685138538
WARUNG MBAK YATI,JL. BANGKA,sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Local Food,209,7,2.0,enriched_v1.0,2025-07-09,Low,0.6011662468513853
"SOTO KUDUS,GARANG ASEM,MANGUT BAROKAH",JL. GUDANG UTARA NO.1,sumur bandung,4.3,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,481,8,2.0,enriched_v1.0,2025-07-09,Low,0.5918879093198991
SATE PADANG TUAH SAKATO (TAMAN MUSIK),JL. BELITUNG NO.10,sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,3169,8,2.0,enriched_v1.0,2025-07-09,High,0.6906372795969773
RUMAH MAKAN SOTO BALI,JL. BALI NO.2,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Local Food,866,7,2.0,enriched_v1.0,2025-07-09,Medium,0.6560251889168764
SATE MAS DADEUNG,JL. RAKATA NO.79,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,195,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6532430730478589
RUMAH MAKAN ANIQ,JL. JAWA NO.38,sumur bandung,3.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Local Food,195,7,2.0,enriched_v1.0,2025-07-09,Low,0.5132430730478589
BRUULE BANDUNG,JL. PATRAKOMALA NO.31,sumur bandung,3.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Restaurant,111,8,2.0,enriched_v1.0,2025-07-09,Low,0.5107040302267002
TON KEDAI,"KOMPLEK RUKO SEGITIGA MAS JL. A. YANI.221-223 BLOK E-12 &
  E-13",sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,108,8,2.0,enriched_v1.0,2025-07-09,Low,0.6156133501259445
KOREAN COMFORT FOOD,"3JMG+VC6, JL. GANDAPURA",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Korean Food,95,6,2.0,enriched_v1.0,2025-07-09,High,0.70272040302267
NARENDANG,JL. KALIMANTAN NO.5,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,70,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6494647355163727
PUSAT KULINER,"3JMH+X5P, JL. KEMUNING",sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,42,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6311183879093198
AREBEST CAFE&RESTO,JL. LOMBOK NO.10,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,133,1,2.0,enriched_v1.0,2025-07-09,High,0.7038690176322417
TERAZ COZY,"3JQ8+3JC, JL. SUMBAWA",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,181,8,2.0,enriched_v1.0,2025-07-09,High,0.7053198992443325
"BRUNCH CAFE, WAFFLES & COFFEE",JL. ANGGREK NO.34,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,213,1,2.0,enriched_v1.0,2025-07-09,Medium,0.6537871536523929
NINETEN BURGER & BAR,JL. BANDA NO.3S,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Fast Food,143,4,2.0,enriched_v1.0,2025-07-09,Medium,0.6341712846347606
