nama,alamat,kecamatan,google_rating,price_range_rupiah,business_status,processed_at,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman
WARUNG BI EEM,JL. PANAITAN NO.22,sumur bandung,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:55,38323.0,3.49,10980.8,4.0,19.0,38.0
MIE BASO RASIMAN,JL. VETERAN NO.111,sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:24:56,38323.0,3.49,10980.8,4.0,19.0,38.0
MIE BASO OPUNG,JL. BARANANG SIANG NO.36,sumur bandung,4.5,,OPERATIONAL,2025-06-28 21:24:57,38323.0,3.49,10980.8,4.0,19.0,38.0
NASI GORENG YONAN,"JL. BARANANG SIANG NO.GANG, RT.07/RW.10",sumur bandung,3.7,,OPERATIONAL,2025-06-28 21:24:59,38323.0,3.49,10980.8,4.0,19.0,38.0
WARUNG NASI IBU ENCUM,JL. BARANANG SIANG NO.34B,sumur bandung,4.471320754716982,,CLOSED_PERMANENTLY,2025-06-28 21:25:00,38323.0,3.49,10980.8,4.0,19.0,38.0
PEMPEK 10 ULU PAK ANANG,JL. SUNDA NO.67,sumur bandung,4.2,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:25:01,38323.0,3.49,10980.8,4.0,19.0,38.0
IKAN LAUT BAKAR SUNDA RASA,JL. CIBUNUT NO.34,sumur bandung,4.5,,OPERATIONAL,2025-06-28 21:25:02,38323.0,3.49,10980.8,4.0,19.0,38.0
ANGKRINGAN SCOOTER,JL. VETERAN NO.74,sumur bandung,4.4,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:25:03,38323.0,3.49,10980.8,4.0,19.0,38.0
SABANA KAPAU BARANANGSIANG,JL. BARANANG SIANG NO.5,sumur bandung,4.2,,OPERATIONAL,2025-06-28 21:25:04,38323.0,3.49,10980.8,4.0,19.0,38.0
NASI GORENG PA WAWAN,JL. SUNDA,sumur bandung,4.8,,OPERATIONAL,2025-06-28 21:25:05,38323.0,3.49,10980.8,4.0,19.0,38.0
MARTABAK BANDUNG 89,JL. SUNDA NO.86,sumur bandung,4.7,,OPERATIONAL,2025-06-28 21:25:06,38323.0,3.49,10980.8,4.0,19.0,38.0
KANTIN IBU ERNA,JL. SUNDA NO.66,sumur bandung,4.7,,OPERATIONAL,2025-06-28 21:25:07,38323.0,3.49,10980.8,4.0,19.0,38.0
WARNAS SUKASARI,JL. RAJAMANTRI WETAN DEPAN NO 17 BUAH BATU,lengkong,4.521932114882507,,OPERATIONAL,2025-06-28 21:25:08,71000.0,5.91,12013.54,3.0484178421654593,43.0,41.0
GANETO RUMAH MAKAN,"JL. NARIPAN NO. 147 KEBON PISANG SUMURBANDUNG BANDUNG JAWA
  BARAT",sumur bandung,4.5,,OPERATIONAL,2025-06-28 21:25:10,38323.0,3.49,10980.8,4.0,19.0,38.0
WARUNG NASI MA ILOH,JL. BARANANG SIANG NO.22,sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:25:11,38323.0,3.49,10980.8,4.0,19.0,38.0
BATAGOR RIASARI,JL. VETERAN,sumur bandung,3.6,,OPERATIONAL,2025-06-28 21:25:14,38323.0,3.49,10980.8,4.0,19.0,38.0
NASI GORENG NAHDIA PUTRI BERKAH,JL. BARANANG SIANG NO.104,sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:25:16,38323.0,3.49,10980.8,4.0,19.0,38.0
PECEL LELE SABAR,JL. BARANANG SIANG,sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:25:17,38323.0,3.49,10980.8,4.0,19.0,38.0
BU WAHYU AYAM PENYET,"FOODLIFE TOSERBA YOGYA SUNDA, JL. SUNDA NO.60",sumur bandung,3.0,,OPERATIONAL,2025-06-28 21:25:19,38323.0,3.49,10980.8,4.0,19.0,38.0
"PEMPEK ""MURNI"" PALEMBANG","DEPAN, JL. BARANANG SIANG NO.4",sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:25:20,38323.0,3.49,10980.8,4.0,19.0,38.0
