nama,alamat,kecamatan,type,latitude,longitude,tahun,source_file,kecamatan_kepadatan,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²)
GRANDE FACTORY OUTLET,JL. RAYA PAJAJARAN NO. 76,Bandung Wetan,tourism_shopping,-6.6088744055930615,106.81121596286545,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
LEVEL,JL. H. JUANDA NO. 138,Coblong,tourism_shopping,-6.888460102346018,107.61374930585654,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
RENARITTI,JL. L. L. R. E. MARTADINATA NO. 26,Bandung Wetan,tourism_shopping,-6.90648632941917,107.61482717791988,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
FO WARUNG GAUL,JL. CIHAMPELAS NO. 151,Coblong,tourism_shopping,-6.894176718330846,107.60374123767446,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
SCH SULTAN AGUNG,JL. SULTAN AGUNG NO. 3,Bandung Wetan,tourism_shopping,-6.904378931282043,107.61130894064748,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
ADIDAS SURAPATI,JL. SURAPATI NO. 61,Coblong,tourism_shopping,-6.898692024208147,107.62106783840336,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
VESSEL STORE,JL. TRUNOJOYO NO. 23,Bandung Wetan,tourism_shopping,-6.902742031894454,107.61336197792414,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
GUDANG GARMENT JL. JAKARTA,JL. JAKARTA NO.8,Batununggal,tourism_shopping,-6.91438572944012,107.63520305005038,2021,cleaned_objek_wisata_belanja.csv,Batununggal,121469.0,4.82,25201.04
GUDANG GARMENT,JL. A.H. NASUTION NO. 76,Mandalajati,tourism_shopping,-6.906605074726724,107.68472102006304,2021,cleaned_objek_wisata_belanja.csv,Mandalajati,73956.0,4.8,15407.5
TC7 STORE,JL. TAMAN CEMP. NO.7,Sumur Bandung,tourism_shopping,-6.9130207868256335,107.62744989306988,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
