Unnamed: 0,nama,alamat,kecamatan,type,tahun,source_file,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),place_id,google_rating,price_range_rupiah,business_status,processed_at
373,FARM TO TABLE,JL. CULAN NO.9,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJf_wMBQDnaC4R9MGDd_e5xro,5,,OPERATIONAL,2025-06-28 21:23:39
374,BIJAN RESTORAN NUSANTARA,JL. JAWA NO.54,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJy41e57PnaC4R394zNERkNOc,4.9,,OPERATIONAL,2025-06-28 21:23:40
375,PAGI SORE BANDUNG,JL. SUMATERA NO.31,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJZ264snznaC4RunQX0WT_52Y,4.1,,OPERATIONAL,2025-06-28 21:23:41
376,NASI TIMBEL BAWEAN,JL. BAWEAN NO.3,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJY5JxqzXmaC4RYpCAHsvRNmY,4.5,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:23:42
377,BAWEAN RESTO,JL. GANDAPURA NO.43,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ2dX2tM3naC4RG6Gcgz_vyWU,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:43
378,KAMPUNG MUARA SUNDA BANDUNG,JL. SUMBAWA NO.10 - 12,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ7SOKrDPnaC4RdUdx-rwfGM4,4.4,,CLOSED_PERMANENTLY,2025-06-28 21:23:44
379,POINT COFFEE,JL. JAWA NO.38MERDEKAKEC,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ7WXltAznaC4RTmFhixUAvNI,5,,OPERATIONAL,2025-06-28 21:23:46
380,KOPI MOYAN,JL. ANGGREK NO.30,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ3xzKFZ_naC4R0e52jVtiJFg,4.5,,OPERATIONAL,2025-06-28 21:23:47
381,HAFA WAREHOUSE,JL. GUDANG SELATAN NO.88,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJganUl3HnaC4RNY2njkXmjd0,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:48
382,TOKO AKARASA,JL. ANGGREK NO.27,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJiYhapM7naC4Rqoju_8PSw9c,4.7,,OPERATIONAL,2025-06-28 21:23:49
383,HAMPTON COFFEE & EATERY,JL. ACEH NO.64,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJxVntjpHnaC4Rzwar3bifYO0,4.5,,CLOSED_PERMANENTLY,2025-06-28 21:23:50
384,VAPORID PEJUANG,JL. ACEH NO.66,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ3QszwoTnaC4Rz31OD_2-r-A,4.7,,OPERATIONAL,2025-06-28 21:23:51
385,KALUARGI JAWA,JL. JAWA NO.36A,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJedT8kq3naC4RLcFotqYiygM,4.8,,OPERATIONAL,2025-06-28 21:23:52
386,KUNASI INDONESIA,JL. GANDAPURA NO.61,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJoVT3eSnnaC4RAN7WV2VxnpE,4.7,,CLOSED_TEMPORARILY,2025-06-28 21:23:53
387,EATBOSS MANGGALA,JL. ACEH NO.66,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJzdMs6kHmaC4R2tm50v02Y_U,4.2,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:54
388,KEDAIFAVORITE,"NO., JL. L. L. R.E. MARTADINATA NO.162",sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ_9gI9M7naC4R70AB9y-nK50,,,OPERATIONAL,2025-06-28 21:23:55
389,PIZZA HUT RESTAURANT,JL. GANDAPURA NO.126,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJoZVe78vnaC4RAoJVFT4L4N4,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:56
390,HAKATA IKKOUSHA,LLRE MARTADINATA ST NO.172,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJHUIjRM7naC4Rk08faZoE50I,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:57
391,AMITY COFFEE & SPACE,JL. GANDAPURA NO.55,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ5ainZErnaC4R2O5dBWq9qP4,4.5,,OPERATIONAL,2025-06-28 21:23:59
392,STEAMBOAT AYUTTHAYA,JL. GUDANG SELATAN NO.45,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJdR0BbDrnaC4R741B6L-BwtQ,1,,OPERATIONAL,2025-06-28 21:24:02
393,RAMENS @GUDANG SELATAN,JL. GUDANG SELATAN NO.22,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJhcp61OXnaC4RuBcH8FVhl7A,4.1,,OPERATIONAL,2025-06-28 21:24:03
394,RESTORAN SEDERHANA RIAU,LLRE MARTADINATA ST NO.128,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJcc1RyTLmaC4RClHKLkuDPPM,4.3,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:05
395,MAMAYU MIE BAKSO,"NO 60KB, JL. SUNDA",sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ2W5Eny3maC4RP0stgfqX1ds,4.8,,OPERATIONAL,2025-06-28 21:24:06
396,PRIMA RASA BAKERY PASTRY,JL. KEMUNING NO.20,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ3_vZDM7naC4RA8TKJybNImY,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:07
397,FAT PHÓ • GANDAPURA,JL. GANDAPURA NO.75,bandung wetan,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJT84uj4fnaC4RJU-OsYI3KBo,4.7,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:08
398,AYAM BAKAR WONGSOLO BANDUNG,LLRE MARTADINATA ST NO.152,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJp9gKvDDmaC4Rll_xwlMDGQM,4.4,Rp 50.000 - 100.000,CLOSED_PERMANENTLY,2025-06-28 21:24:09
399,SONOMA CAFE|RESTO (SONOMA GOLD),JL. LOMBOK NO.29,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJawtYCDXmaC4RVol2ECy4yRY,4.5,Rp 100.000 - 200.000,OPERATIONAL,2025-06-28 21:24:10
400,JUSTUS STEAK HOUSE JAWA,JL. JAWA NO.50,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJHcIbWwDnaC4RDJTO5ihDgEE,4.7,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:11
401,STEAK HOTEL BY HOLYCOW! TKP BANDUNG,JL. ANGGREK NO.29,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJtURC2pPnaC4RnJiccYHrpMw,4.8,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:12
