,nama,alamat,kecamatan,type,tahun,source_file,Jumlah Penduduk,Luas Wilayah,Kepadatan Jiwa
93,HAPPY GO LUCKY,JL. CILIWUNG NO. 14,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
94,GUDANG GARMENT TOHA,JL. MOH. TOHA NO. 106,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
95,KING KONG JEANS,JL. CIHAMPELAS NO. 166A,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
96,RABBANI,JL. DIPATIUKUR NO. 44,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
97,ALISHA FANCY SHOP,JL. SALENDRO UTARA NO. 27,lengkong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,71000.0,5.91,12013.54
98,CROCS,JL. L. LÂ  R. R. MARTADINATA NO. 32,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
99,NS FACTORY OUTLET,JL. DEWI SARTIKA NO. 65,regol,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,80609.0,4.74,17006.12
100,STOP N SHOP FACTORY OUTLET,JL. INSINYUR H. JUANDA NO. 152,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
101,SHAFIRA BUAH BATU,JL. BUAH BATU NO. 165 B,lengkong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,71000.0,5.91,12013.54
102,MR BEAN FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 57,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
103,CISANGKUY FACTORY OUTLET,JL. CISANGKUY NO. 58,cibeunying kaler,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,70662.0,4.64,15228.88
104,JETSET FACTORY OUTLET,JL. IR. H. JUANDA NO. 116,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
105,CALAMUS FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 81,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
106,TOKO DAPUR BUNDA - FACTORY OUTLET,JL. LODAYA NO. 55,lengkong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,71000.0,5.91,12013.54
107,SPORT STATION TRUNOJOYO,JL. TRUNOJOYO NO.7,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
108,JOKOWOW FACTORY OUTLET,JL. CIHAMPELAS NO. 174,sukajadi,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,103066.0,5.28,19520.08
109,GRANDE FASHION & GALLERY,JL. CIHAMPELAS NO.186,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
110,CHERRY FACTORY OUTLET,JL. GEGERKALOOHILIR NO. 18,sukajadi,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,103066.0,5.28,19520.08
111,MIKHAYLA KIDS FACTORY OUTLET BATUSANGKAR,JL. SOEKARNO HATTA NO. 2,cibiru,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,76236.0,6.84,11145.61
112,BARUNI BATIK GALLERY,JL. BUAH BATU NO.87,lengkong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,71000.0,5.91,12013.54
113,CUCI GUDANG BARANG BRANDED,JL. TAMAN KOPO INDAH I,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
114,FOJBA FACTOR OUTLET,JL. TERUSAN KOPO,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
115,JULIEN BIG SIZE,JL. VETERAN NO. 17-B,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
116,THE SPORTS WAREHOUSE,JL. BRAGA NO. 91,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
117,BRAND REVOLUTION,JL. IR. H. JUANDA,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
118,BOOM STOCK,JL. CIHAMPELAS NO. 144,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
119,BANDUNG ORIGINAL MERCHANDISE,JL. CIHAMPLES NO. 210,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
120,PERSIB MERCHANDISE STORE,JL. SULANJANA NO. 17,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
121,ELMEIRA HIJAB,JL. PROGO NO. 3,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
122,TOKO TIGA,JL. JEND. AHMAD YANI,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
123,TWIG HOUSE,JL. SUKAJADI NO. 127,sukasari,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,77576.0,6.36,12197.48
124,OUTLET@251 - S.OLIVER,JL. RAYA PAJAJARAN NO. 27,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
125,TOKO SEPATU BATA,JL. RAYA BOJONGSOANG NO. 67,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
126,TOKO TAS ELIZABETH OTISTA,JL. OTTO ISKANDAR DINATA NO. 520,astanaanyar,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,73232.0,2.68,27325.37
127,UNIVERSAL FOOTWEAR,JL. CIKONENG NO. 46,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
128,SILIWANGI,JL. JEND. AHMAD YANI 203,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
129,NIRWANA FABRIC OUTLET,JL. HASANUDIN NO. 9,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
130,C59,JL. MERAK NO.2,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
131,THIRD DAY CO,JL. CIHAMPELAS NO. 140,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
132,K2 BUSANA,JL. DEWI SARTIKA NO. 69,regol,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,80609.0,4.74,17006.12
133,WIDELY PROJECT,JL. L. L. R. E. MARTADINATA NO. 107,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
134,RUMAH BAJU FASHION OUTLET,JL. PURWAKARTA NO. 146,antapani,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,80530.0,4.22,19082.94
135,KENARI FABRIC OUTLET,JL. KENARI NO. 14,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
136,FACTORY OUTLET HILTON,JL. TERUSAN KOPO KM. 11 NO. 76,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
137,BARCELONA SPORT,JL. JEND AHMAD YANI NO. 69,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
