id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kelurahan,kecamatan,latitude,longitude,type
8754,32,JAWA BARAT,3273,KOTA BANDUNG,MASAKAN SUNDA,SUKASARI SARIJADI,2024,Sukarasa,Kabupaten Bandung,-6.868752,107.5826615,restaurant
8757,32,JAWA BARAT,3273,KOTA BANDUNG,KEDAI YUKENSIMI (AYAM BAKAR & HOT SPICY CHICKEN),JL. SARIASIH NO.80,2024,Sarijadi,Kabupaten Bandung,-6.8762691,107.5788003,restaurant
8760,32,JAWA BARAT,3273,KOTA BANDUNG,D'KINGS HOT CHICKEN WINGS,JL. SARIASIH NO.23,2024,Sarijadi,Kabupaten Bandung,-6.8762691,107.5788003,restaurant
8762,32,JAWA BARAT,3273,KOTA BANDUNG,ELBURGER,JL. SARIMANAH NO.74,2024,Sarijadi,Kabupaten Bandung,-6.8777493,107.5782325,restaurant
8774,32,JAWA BARAT,3273,KOTA BANDUNG,PRODUKSI DIMSUM,JL. CIJEROKASO NO.38,2024,Sarijadi,Kabupaten Bandung,-6.868835,107.5783113,restaurant
8790,32,JAWA BARAT,3273,KOTA BANDUNG,MUCHSIN ONLINE,JL. SUKAHAJI NO.23,2024,Sukahaji,Kabupaten Bandung,-6.9206062,107.580869,restaurant
8805,32,JAWA BARAT,3273,KOTA BANDUNG,LE CONDUCTEUR (LC) COFFEE SHOP & ROASTERY,JL. WASTUKENCANA NO.51,2024,Tamansari,Kabupaten Bandung,-6.9039897,107.6057314,restaurant
8810,32,JAWA BARAT,3273,KOTA BANDUNG,BAHAGIA KOPI - BRAGA,JL. BRAGA NO.61,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8811,32,JAWA BARAT,3273,KOTA BANDUNG,DELI COFFEE SHOP,JL. MERDEKA NO.32,2024,Merdeka,Kabupaten Bandung,-6.9148648,107.6178088,restaurant
8814,32,JAWA BARAT,3273,KOTA BANDUNG,BLUE OLIVES TAVERNA,JL. KEBON SIRIH NO.31,2024,Babakan Ciamis,Kabupaten Bandung,-6.909572,107.6073837,restaurant
8826,32,JAWA BARAT,3273,KOTA BANDUNG,BUBUR AKIONG,SUMUR BANDUNG BABAKAN CIAMIS,2024,Babakan Ciamis,Kabupaten Bandung,-6.9107189,107.6057015,restaurant
8830,32,JAWA BARAT,3273,KOTA BANDUNG,FEEL IT BURGER,JL. MERDEKA NO.49,2024,Merdeka,Kabupaten Bandung,-6.9148648,107.6178088,restaurant
8834,32,JAWA BARAT,3273,KOTA BANDUNG,MIGHTY STEAK RAW,JL. MERDEKA NO.49,2024,Merdeka,Kabupaten Bandung,-6.9148648,107.6178088,restaurant
8836,32,JAWA BARAT,3273,KOTA BANDUNG,PILLOW CAKE,JL. ACEH NO.15,2024,Citarum,Kabupaten Bandung,-6.9098682,107.6152289,restaurant
8838,32,JAWA BARAT,3273,KOTA BANDUNG,WAROENG MARANGGI D'SATE'S,JL. ACEH NO.24,2024,Citarum,Kabupaten Bandung,-6.9098682,107.6152289,restaurant
8853,32,JAWA BARAT,3273,KOTA BANDUNG,RED DISTRICT,JL. BRAGA NO.84,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8854,32,JAWA BARAT,3273,KOTA BANDUNG,LA BARAGA CAFE,JL. BRAGA NO.54,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8856,32,JAWA BARAT,3273,KOTA BANDUNG,CUPOLA COFFEE SHOP,JL. BRAGA NO.43,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8858,32,JAWA BARAT,3273,KOTA BANDUNG,WIFI.ID CORNER (WICO) - LEMBONG,JL. LEMBONG NO.11,2024,Braga,Kabupaten Bandung,-6.9172401,107.6114125,restaurant
8859,32,JAWA BARAT,3273,KOTA BANDUNG,WHYNOT,JL. BRAGA NO.42,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8860,32,JAWA BARAT,3273,KOTA BANDUNG,GASTRO MEAT & GRILL,JL. BRAGA NO.40,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8862,32,JAWA BARAT,3273,KOTA BANDUNG,AROMA COFFEE,JL. BANCEUY NO.51,2024,Braga,Kabupaten Bandung,-6.9200282,107.6065799,restaurant
8863,32,JAWA BARAT,3273,KOTA BANDUNG,STOCKER HOUSE,JL. BRAGA NO.43,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8864,32,JAWA BARAT,3273,KOTA BANDUNG,JURNAL RISA COFFEE BRAGA,JL. BRAGA NO.45,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8866,32,JAWA BARAT,3273,KOTA BANDUNG,POINT COFFEE,JL. BRAGA NO.52,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8868,32,JAWA BARAT,3273,KOTA BANDUNG,LITTLE CONTRAST BRAGA,JL. BRAGA NO.88,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8869,32,JAWA BARAT,3273,KOTA BANDUNG,KOPI TOKO DJAWA (BRAGA),JL. BRAGA NO.81,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8872,32,JAWA BARAT,3273,KOTA BANDUNG,TOKO TAHILALATS,JL. BRAGA NO.35,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8873,32,JAWA BARAT,3273,KOTA BANDUNG,KIPIKUPI CAFE,JL. ALKATERI NO.44,2024,Alkateri,Kabupaten Bandung,-7.2168255,107.4161544,restaurant
8874,32,JAWA BARAT,3273,KOTA BANDUNG,BANDUNG SUKI,JL. BRAGA NO.70,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8877,32,JAWA BARAT,3273,KOTA BANDUNG,JABARANO COFFEE,JL. BRAGA NO.15,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8879,32,JAWA BARAT,3273,KOTA BANDUNG,SUIS BUTCHER BRAGA,JL. BRAGA NO.43,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8880,32,JAWA BARAT,3273,KOTA BANDUNG,CANARY BAKERY AND CAFE,JL. BRAGA NO.16,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8881,32,JAWA BARAT,3273,KOTA BANDUNG,WARUNG KOPI PURNAMA,JL. ALKATERI NO.22,2024,Alkateri,Kabupaten Bandung,-7.2168255,107.4161544,restaurant
8882,32,JAWA BARAT,3273,KOTA BANDUNG,WIKI KOFFIE,JL. BRAGA NO.90,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8884,32,JAWA BARAT,3273,KOTA BANDUNG,ZENSEI,JL. BRAGA NO.41,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8885,32,JAWA BARAT,3273,KOTA BANDUNG,SOP KAKI MAS PENDI,JL. BANCEUY NO.20,2024,Braga,Kabupaten Bandung,-6.9200282,107.6065799,restaurant
8886,32,JAWA BARAT,3273,KOTA BANDUNG,KATSUNYAKA BRAGA SARINAH,JL. BRAGA NO.10,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8887,32,JAWA BARAT,3273,KOTA BANDUNG,RASA BAKERY & CAFE,JL. TAMBLONG NO.15,2024,Kebon Pisang,Kabupaten Bandung,-6.9194527,107.6122954,restaurant
8889,32,JAWA BARAT,3273,KOTA BANDUNG,LONTONG KARI GOW-GOW ALKATER,JL. ALKATERI NO.20,2024,Alkateri,Kabupaten Bandung,-7.2168255,107.4161544,restaurant
8892,32,JAWA BARAT,3273,KOTA BANDUNG,BRAGA PERMAI,JL. BRAGA NO.58,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8893,32,JAWA BARAT,3273,KOTA BANDUNG,MAISON BOGERIJEN,JL. BRAGA NO.58,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8896,32,JAWA BARAT,3273,KOTA BANDUNG,GELORA MINANG RESTAURANT,JL. LEMBONG NO.22,2024,Braga,Kabupaten Bandung,-6.9172401,107.6114125,restaurant
8897,32,JAWA BARAT,3273,KOTA BANDUNG,WARUNG C'MAR FOOD COURT,JL. BRAGA NO.69,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8902,32,JAWA BARAT,3273,KOTA BANDUNG,BRASSERIE RESTAURANT,JL. ASIA AFRIKA NO.81,2024,Burangrang,Kabupaten Bandung,-6.9237961,107.6181758,restaurant
8904,32,JAWA BARAT,3273,KOTA BANDUNG,MARTY'S PIZZA,JL. BRAGA NO.45,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8906,32,JAWA BARAT,3273,KOTA BANDUNG,TERRACE RESTO OMALIA CAFE,JL. BRAGA NO.74,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8909,32,JAWA BARAT,3273,KOTA BANDUNG,"SATE ""AJ"" ASIN PEDAS (SATE AYAM, SATE SAPI, KAMBING)",JL. SUNIARAJA NO.32,2024,Kebon Jeruk,Kabupaten Bandung,-6.9161017,107.602908,restaurant
8910,32,JAWA BARAT,3273,KOTA BANDUNG,MILK N CRUMBS BRAGA,JL. BRAGA NO.43,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8911,32,JAWA BARAT,3273,KOTA BANDUNG,SWEET CANTINA,JL. BRAGA NO.89,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8912,32,JAWA BARAT,3273,KOTA BANDUNG,LAKKER CAKE SHOP,JL. BRAGA NO.83,2024,Braga,Kabupaten Bandung,-6.9172506,107.6052921,restaurant
8916,32,JAWA BARAT,3273,KOTA BANDUNG,RESTAURANT RASA,JL. TAMBLONG NO.15,2024,Kebon Pisang,Kabupaten Bandung,-6.9194527,107.6122954,restaurant
8919,32,JAWA BARAT,3273,KOTA BANDUNG,KLAS TAP BAR,JL. SUNDA NO.65,2024,Kebon Pisang,Kabupaten Bandung,-6.9181694,107.6180391,restaurant
8920,32,JAWA BARAT,3273,KOTA BANDUNG,FOODLIFE FOOD COURT,JL. SUNDA NO.60,2024,Kebon Pisang,Kabupaten Bandung,-6.9181694,107.6180391,restaurant
