id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,kategori,jumlah,satuan,tahun
139,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,RESTORAN,27389297220,RUPIAH,2022
140,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,RESTORAN,29821650084,RUPIAH,2022
141,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,RESTORAN,25927487144,RUPIAH,2022
142,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,RESTORAN,25547522412,RUPIAH,2022
143,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,RESTORAN,26194671998,RUPIAH,2022
144,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,RESTORAN,281500814,RUPIAH,2022
145,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KATERING,20891238,RUPIAH,2022
146,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KATERING,420608183,RUPIAH,2022
147,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KATERING,812564590,RUPIAH,2022
148,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KATERING,666833983,RUPIAH,2022
149,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KATERING,487537529,RUPIAH,2022
150,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KATERING,861842970,RUPIAH,2022
151,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KATERING,828137497,RUPIAH,2022
152,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KATERING,124990590,RUPIAH,2022
153,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KATERING,17818488,RUPIAH,2022
154,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KATERING,1191779025,RUPIAH,2022
155,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KATERING,1807225885,RUPIAH,2022
156,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KATERING,1752706306,RUPIAH,2022
