nama,alamat,kecamatan,type,Jumlah Penduduk,Luas Wilayah,Kepadatan Jiwa
BRAND REVOLUTION,JL. IR. H. JUANDA,Coblong,tourism_shopping,115273.0,7.31,15769.22
BOOM STOCK,JL. CIHAMPELAS NO. 144,Coblong,tourism_shopping,115273.0,7.31,15769.22
BANDUNG ORIGINAL MERCHANDISE,JL. CIHAMPLES NO. 210,Coblong,tourism_shopping,115273.0,7.31,15769.22
PERSIB MERCHANDISE STORE,JL. SULANJANA NO. 17,Coblong,tourism_shopping,115273.0,7.31,15769.22
ELMEIRA HIJAB,JL. PROGO NO. 3,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
TOKO TIGA,JL. JEND. AHMAD YANI,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
TWIG HOUSE,JL. SUKAJADI NO. 127,Sukasari,tourism_shopping,77576.0,6.36,12197.48
OUTLET@251 - S.OLIVER,JL. RAYA PAJAJARAN NO. 27,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
TOKO SEPATU BATA,JL. RAYA BOJONGSOANG NO. 67,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
TOKO TAS ELIZABETH OTISTA,JL. OTTO ISKANDAR DINATA NO. 520,Astanaanyar,tourism_shopping,73232.0,2.68,27325.37
UNIVERSAL FOOTWEAR,JL. CIKONENG NO. 46,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
SILIWANGI,JL. JEND. AHMAD YANI 203,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
NIRWANA FABRIC OUTLET,JL. HASANUDIN NO. 9,Coblong,tourism_shopping,115273.0,7.31,15769.22
C59,JL. MERAK NO.2,Coblong,tourism_shopping,115273.0,7.31,15769.22
THIRD DAY CO,JL. CIHAMPELAS NO. 140,Coblong,tourism_shopping,115273.0,7.31,15769.22
K2 BUSANA,JL. DEWI SARTIKA NO. 69,Regol,tourism_shopping,80609.0,4.74,17006.12
WIDELY PROJECT,JL. L. L. R. E. MARTADINATA NO. 107,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
RUMAH BAJU FASHION OUTLET,JL. PURWAKARTA NO. 146,Antapani,tourism_shopping,80530.0,4.22,19082.94
