id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun
95,32,JAWA BARAT,3273,KOTA BANDUNG,BLACKPEPPER RESTO & CAFE,JL. MAULANA YUSUF NO.10,2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,ICUP SULTAN AGUNG,JL. SULTAN AGUNG NO.7,2020
97,32,JAWA BARAT,3273,KOTA BANDUNG,SNACK AND STAY,JL. PURNAWARMAN NO.39,2020
98,32,JAWA BARAT,3273,KOTA BANDUNG,SPADAA KOFFIE,JL. TERNATE NO.5,2020
99,32,JAWA BARAT,3273,KOTA BANDUNG,TREE HOUSE CAFE BANDUNG,JL. HASANUDIN NO.5,2020
100,32,JAWA BARAT,3273,KOTA BANDUNG,MARKA COFFEE & KITCHEN,JL. TALAGA BODAS NO.32,2020
101,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE ALDILA,JL. HARIANGBANGA NO.5,2020
102,32,JAWA BARAT,3273,KOTA BANDUNG,ONE EIGHTY COFFEE AND MUSIC,JL. GANESA NO.3,2020
103,32,JAWA BARAT,3273,KOTA BANDUNG,J CO SAWUNGGALING,JL. SAWUNGGALING NO.1,2020
104,32,JAWA BARAT,3273,KOTA BANDUNG,FURDAN N SHISHA CAFE,JL. BENGAWAN NO.58,2020
105,32,JAWA BARAT,3273,KOTA BANDUNG,KALAZI INSIGHT CAFE,JL. SUMBAWA,2020
106,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE BUNDA ALICIA,JL. BAGUSRANGIN NO.70/50,2020
107,32,JAWA BARAT,3273,KOTA BANDUNG,BADUNG CAFE N RESTO,JL. DR.CIPTO NO.3,2020
108,32,JAWA BARAT,3273,KOTA BANDUNG,BRIGHT CAFE,JL. IR. H. JUANDA NO.139,2020
109,32,JAWA BARAT,3273,KOTA BANDUNG,WIKI KOFFIE,JL. BRAGA NO.90,2020
110,32,JAWA BARAT,3273,KOTA BANDUNG,SAGA CAFE & MART,JL. LOMBOK NO.8,2020
111,32,JAWA BARAT,3273,KOTA BANDUNG,COFFEEHEAVEN,JL. GATOT SUBROTO NO. 57,2020
112,32,JAWA BARAT,3273,KOTA BANDUNG,ELEPHANT ROSE,JL. RANGAMALELA NO.23,2020
113,32,JAWA BARAT,3273,KOTA BANDUNG,KARAVAN CAFE 303,JL. JENDERAL AHMAD YANI NO.303,2020
114,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE HALAMAN,JL. TAMANSARI NO. 92,2020
115,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE CONNU,JL. SUKAJADI NO. 201,2020
116,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE CINDE,JL. PAHLAWAN NO.58,2020
117,32,JAWA BARAT,3273,KOTA BANDUNG,GEDOGAN COFFEE & TEA,JL. SERAM NO.1,2020
118,32,JAWA BARAT,3273,KOTA BANDUNG,RASA BAKERY & CAFE,JL. TAMBLONG DALAM NO.15,2020
119,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE TANGGA,JL. TUBAGUS ISMAIL RAYA NO.1A,2020
120,32,JAWA BARAT,3273,KOTA BANDUNG,TWO HANDS FULL,JL IR. H. JUANDA NO.113,2020
121,32,JAWA BARAT,3273,KOTA BANDUNG,WARUNG UPNORMAL RIAU,JL. L. L. R. E. MARTADINATA NO 114,2020
122,32,JAWA BARAT,3273,KOTA BANDUNG,BAKGARD CAFE,JL. KARAPIAN NO.36,2020
123,32,JAWA BARAT,3273,KOTA BANDUNG,SEVENEIGHT CAFE 78,JL. TUBAGUS ISMAIL RAYA NO.25,2020
124,32,JAWA BARAT,3273,KOTA BANDUNG,THE LARDER AT 55,JL. GANDAPURA NO.55,2020
125,32,JAWA BARAT,3273,KOTA BANDUNG,LE DELICE CAFE AND BAKERY,JL. GUNTUR NO.22,2020
126,32,JAWA BARAT,3273,KOTA BANDUNG,COFFEE & JOHN,JL. NARIPAN NO.76,2020
127,32,JAWA BARAT,3273,KOTA BANDUNG,KUKUMAMA,JL. L. L. R. E. MARTADINATA NO.221,2020
128,32,JAWA BARAT,3273,KOTA BANDUNG,CHANDA.LAH CAFE AND MILK BAR,JL. BRAGA NO.49,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,PICKNICK,JL. PASIR KALIKI NO. 176,2020
130,32,JAWA BARAT,3273,KOTA BANDUNG,PAWON PITOE CAFE LENGKONG,JL. LEKONG BESAR NO.6,2020
131,32,JAWA BARAT,3273,KOTA BANDUNG,HARA CAFE,JL. PROF DR.SUTAMI NO.62,2020
132,32,JAWA BARAT,3273,KOTA BANDUNG,GANESHA CAFE,JL. CIHAUR GEULIS,2020
133,32,JAWA BARAT,3273,KOTA BANDUNG,BEHIVE CAFE & BOUTIQUE HOTEL,JL. DAYANG SUMBI NO. 1,2020
134,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE RIUNG PANYILEUKAN,JL. TM. CIBEUNYING SELATAN NO.37,2020
135,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE MORE WYATA GUNA,JL. PAJAJARAN NO.50,2020
136,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE ASIX,JL. TALAGA BODAS NO. 25,2020
137,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE 190 ONE NINETY COFFEE CULTURE,JL. PETA NO.190A,2020
138,32,JAWA BARAT,3273,KOTA BANDUNG,MOONSOON CAFE,JL. DR. DJUNJUNAN NO.143-149,2020
139,32,JAWA BARAT,3273,KOTA BANDUNG,EDUPLEX CAFE,JL. IR. H. JUANDA NO.84,2020
140,32,JAWA BARAT,3273,KOTA BANDUNG,PAWON PITOE CAFE TALAGA BODAS,JL. TALAGA BODAS NO.48,2020
141,32,JAWA BARAT,3273,KOTA BANDUNG,CUDETO CAFE & RESTO,JL. CIKUTRA NO.187,2020
142,32,JAWA BARAT,3273,KOTA BANDUNG,MORGY COFFEE,JL. ANGGREK NO. 46,2020
143,32,JAWA BARAT,3273,KOTA BANDUNG,CAFFEE BENE DAGO,JL. IR. H. JUANDA NO.155,2020
144,32,JAWA BARAT,3273,KOTA BANDUNG,CERISE CAFE,JL. MOH TOHA NO.155,2020
145,32,JAWA BARAT,3273,KOTA BANDUNG,THE SUGARUSH,JL.BRAGA NO. 83,2020
146,32,JAWA BARAT,3273,KOTA BANDUNG,CATS AND ICE CREAM DAGO,JL.KANAYAKAN NO.13,2020
147,32,JAWA BARAT,3273,KOTA BANDUNG,RAMU INDONESIA,JL. LASWI NO.1J,2020
148,32,JAWA BARAT,3273,KOTA BANDUNG,CHIBA CAFE,JL. SEMAR NO.1,2020
149,32,JAWA BARAT,3273,KOTA BANDUNG,ATMOSPHERE RESORT CAFE,JL.LENGKONG BESAR NO.97,2020
150,32,JAWA BARAT,3273,KOTA BANDUNG,SECA SEMI CAFE,JL. JEND. SUDIRMAN NO.574,2020
151,32,JAWA BARAT,3273,KOTA BANDUNG,ALLEGRO CAFE,JL. SURYALAYA INDAH NO. 26,2020
152,32,JAWA BARAT,3273,KOTA BANDUNG,OROFI CAFE BY THE VALLEY,JL. LEMBAH PAKAR TIMUR NO.99,2020
153,32,JAWA BARAT,3273,KOTA BANDUNG,COLADA,JL. PURWAKARTA NO.192,2020
154,32,JAWA BARAT,3273,KOTA BANDUNG,MIMITI CAFE & SPACE,JL. PAKAR BAR NO.7,2020
155,32,JAWA BARAT,3273,KOTA BANDUNG,18 HRS CAFE,JL. DR. SETIABUDI NO.103,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,ZERO HOUR COFFEE,JL. TERUSAN MARTANEGARA NO.20,2020
157,32,JAWA BARAT,3273,KOTA BANDUNG,CONTOU COFFEE,JL. TAMAN CEMPAKA NO.6,2020
158,32,JAWA BARAT,3273,KOTA BANDUNG,SIERRA CAFE & LOUNGE,JL. BUKIT PAKAR TIMUR NO.33,2020
159,32,JAWA BARAT,3273,KOTA BANDUNG,MASAGI KOFFEE,JL. GUNUNG KAREUMBI NO.1-B,2020
160,32,JAWA BARAT,3273,KOTA BANDUNG,SEIMOS,JL. MOH TOHA NO.187,2020
161,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE WOODCASE COFFEE BAR,JL. CIJAGRA RAYA NO.68,2020
162,32,JAWA BARAT,3273,KOTA BANDUNG,TEH MANIS CAFE,JL. GATOT SUBROTO NO.495,2020
163,32,JAWA BARAT,3273,KOTA BANDUNG,CO&B CAFE,JL. KUNINGAN RAYA NO.35,2020
164,32,JAWA BARAT,3273,KOTA BANDUNG,MONOMYTH BOARD GAME CAFE,JL. SUKARAJA NO.17-18,2020
165,32,JAWA BARAT,3273,KOTA BANDUNG,SANS. CO SPACE,JL. IR. H. JUANDA NO.347,2020
166,32,JAWA BARAT,3273,KOTA BANDUNG,ROCK STAR MUSIC CAFE,JL. SOEKARNO HATTA,2020
167,32,JAWA BARAT,3273,KOTA BANDUNG,THE COFFEE BEAN,JL. GATOT SUBROTO NO.289,2020
168,32,JAWA BARAT,3273,KOTA BANDUNG,COLIBRI CAFE & BAKERY,JL. TERUSAN PASIRKOJA NO.246,2020
169,32,JAWA BARAT,3273,KOTA BANDUNG,COGER BLAZBLUZ,JL. BABAKAN SARI 1 NO.11,2020
170,32,JAWA BARAT,3273,KOTA BANDUNG,RUMPUT CAFE,JL. SUKAHAJI BARU NO.1,2020
171,32,JAWA BARAT,3273,KOTA BANDUNG,YELLOW TRUCK COFFEE,JL. PATUHA NO.29,2020
172,32,JAWA BARAT,3273,KOTA BANDUNG,ASA'AN KOPI,JL. BUKIT PAKAR UTARA NO.120,2020
173,32,JAWA BARAT,3273,KOTA BANDUNG,TRANSIT COFFEE,JL. MELONG RAYA NO.72,2020
