nama,alamat,kecamatan,type,latitude,longitude,tahun,source_file
PABERIK BADJOE FACTORY OUTLET,JL. SOEKARNO HATTA NO. 573,Batununggal,tourism_shopping,-6.941533483597855,107.63848041889923,2021,cleaned_objek_wisata_belanja.csv
BANDARBAJU.COM PUSAT BISNIS BAJU MURAH BANDUNG,JL. ANGKASA MEKAR NO. 88,Babakan Ciparay,tourism_shopping,-6.957374186500854,107.59012380428751,2021,cleaned_objek_wisata_belanja.csv
FACTORY OUTLET STORE,JL. DR. SETIABUDI 73,Cidadap,tourism_shopping,-6.87053744092307,107.5940868594795,2021,cleaned_objek_wisata_belanja.csv
THE SECRET FACTORY OUTLET,JL. L. L. R. E. MARTADINATAÂ  NO. 47,Bandung Wetan,tourism_shopping,-6.904341501026932,107.61460880065005,2021,cleaned_objek_wisata_belanja.csv
CARGO FACTORY OUTLET,JL. DIPONEGORO NO. 30,Cibeunying Kaler,tourism_shopping,-6.899910912083527,107.6220760149725,2021,cleaned_objek_wisata_belanja.csv
ANAKECIL FACTORY OUTLET,JL. HAYAM WURUK NO. 32,Bandung Wetan,tourism_shopping,-6.902041250680221,107.62035941582116,2021,cleaned_objek_wisata_belanja.csv
HERITAGE THE FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 63-65,Bandung Wetan,tourism_shopping,-6.904086411492033,107.61718370032496,2021,cleaned_objek_wisata_belanja.csv
PASSION FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 36,Bandung Wetan,tourism_shopping,-6.905668433280177,107.61664414888116,2021,cleaned_objek_wisata_belanja.csv
EST FACTORY OUTLET,JL. SUMATERA NO. 28-30,Sumur Bandung,tourism_shopping,-6.916087641641674,107.61391375120031,2021,cleaned_objek_wisata_belanja.csv
DSE FACTORY OUTLET,JL. MERDEKA NO. 35,Sumur Bandung,tourism_shopping,-6.907861945781902,107.61016158072113,2021,cleaned_objek_wisata_belanja.csv
ADIDAS OUTLET STORE,JL. SOEKARNO HATTA NO. 57355,Batununggal,tourism_shopping,-6.945820849775246,107.63874392149508,2021,cleaned_objek_wisata_belanja.csv
THE CROWN PREMIUM OUTLETS,JL. L. L. R. E. MARTADINATA NO. 51,Bandung Wetan,tourism_shopping,-6.90639141247417,107.61504971910932,2021,cleaned_objek_wisata_belanja.csv
ADIDAS OUTLET DAGO,JL. IR H. JUANDA NO. 123,Coblong,tourism_shopping,-6.890279955952941,107.61339052843395,2021,cleaned_objek_wisata_belanja.csv
EIGER,JL. PELAJAR PEJUANG 45 NO. 112,Lengkong,tourism_shopping,-6.93251141208714,107.62307514112626,2021,cleaned_objek_wisata_belanja.csv
EIGER ADVENTURE CIHAMPELAS,JL. CIHAMPELAS NO. 22,Bandung Wetan,tourism_shopping,-6.90398199964887,107.60461201101285,2021,cleaned_objek_wisata_belanja.csv
PEGASHOES,JL. KEMBANG SAPATU NO. 3,Sumur Bandung,tourism_shopping,-6.917630849245296,107.6245878965211,2021,cleaned_objek_wisata_belanja.csv
FO RIAU STOK MALL,JL. L. L. R. E. MARTADINATA NO. 160,Bandung Wetan,tourism_shopping,-6.912518306702773,107.6291368858317,2021,cleaned_objek_wisata_belanja.csv
EXPORT STATION,JL. SUMATERA NO. 24-30,Sumur Bandung,tourism_shopping,-6.914566983084818,107.61395944297708,2021,cleaned_objek_wisata_belanja.csv
FS BODYPACK EIGER STORE DAGO,JL. IR. H. JUANDA NO. 88,Coblong,tourism_shopping,-6.89471339141491,107.61327236979164,2021,cleaned_objek_wisata_belanja.csv
CONSINA STORE BANDUNG,JL. LENGKONG BESAR NO. 79,Lengkong,tourism_shopping,-6.925321832006346,107.6123781586149,2021,cleaned_objek_wisata_belanja.csv
