id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kelurahan,kecamatan,latitude,longitude
8034,32,JAWA BARAT,3273,KOTA BANDUNG,WARBAN GBLA,"STADION GBLA, RANCANUMPANG, GERBANG MERAH TIMUR PERBATASAN",2024,,,,
8035,32,JAWA BARAT,3273,KOTA BANDUNG,FOODCOURT GRIYA 46 KULINER,JL. GRIYA CEMPAKA ARUM NO.46-48,2024,,,,
8036,32,JAWA BARAT,3273,KOTA BANDUNG,WARUNG MAKAN FIET129,"2PR6+8X6, UNNAMED ROAD",2024,,,,
8037,32,JAWA BARAT,3273,KOTA BANDUNG,BANDUNG BBQ AND GRILL,JL. GRIYA CEMPAKA ARUM NO.21 BLOK C3,2024,,,,
8038,32,JAWA BARAT,3273,KOTA BANDUNG,MINI RESTO AAN,"2PV5+R96, JL. GRIYA CEMPAKA ARUM",2024,,,,
8039,32,JAWA BARAT,3273,KOTA BANDUNG,KENIKMATAN DUNIAWI SOURDOUGH BAKERY,JL. WULUKU III NO.3,2024,,,,
8040,32,JAWA BARAT,3273,KOTA BANDUNG,DRINK,GRIYA KIARACONDONG,2024,Babakansari,,-6.922166,107.644463
8041,32,JAWA BARAT,3273,KOTA BANDUNG,AQIQAHKU BABAKAN SARI,JL. BABAKAN SARI NO.143,2024,,,,
8042,32,JAWA BARAT,3273,KOTA BANDUNG,KRIYT.ID,"JL. KAMPUS VB NO.3, RT.05/RW.08",2024,,,,
8043,32,JAWA BARAT,3273,KOTA BANDUNG,BANDUNG,3JHX+4JG,2024,,,,
8044,32,JAWA BARAT,3273,KOTA BANDUNG,KANTIN WR FOOD & COFFEE,JL. PACUL NO.3 NO.2,2024,,,,
8045,32,JAWA BARAT,3273,KOTA BANDUNG,DE'CHICK FRIED CHICKEN DAN AYAM GEPREK REMPAH,JL. BABAKAN SARI NO.137,2024,,,,
8046,32,JAWA BARAT,3273,KOTA BANDUNG,LABBAIK CHICKEN BABAKANSARI,JL. BABAKAN SARI NO.37,2024,Babakansari,,-6.9244306,107.6498365
8047,32,JAWA BARAT,3273,KOTA BANDUNG,BERKAH FRIED CHICKEN,"RT 09/09, JL. BABAKAN SARI III NO.427",2024,,,,
8048,32,JAWA BARAT,3273,KOTA BANDUNG,TEBUCI BURGER BAKAR,JL. BABAKAN SARI,2024,Babakansari,,-6.9244306,107.6498365
8049,32,JAWA BARAT,3273,KOTA BANDUNG,WIKEY HEALTHY FOOD,JL. BABAKAN SARI III RT.05 RW.09 NO.270 KIARACONDONG,2024,,,,
8050,32,JAWA BARAT,3273,KOTA BANDUNG,RK BURGER,3JHW+844,2024,,,,
8051,32,JAWA BARAT,3273,KOTA BANDUNG,RICE BOWL KITA,JL. TERUSAN SEKOLAH NO.41,2024,,,,
8052,32,JAWA BARAT,3273,KOTA BANDUNG,RICE ON,JL. BABAKAN SARI NO.11,2024,Babakansari,,-6.9244306,107.6498365
8053,32,JAWA BARAT,3273,KOTA BANDUNG,BAKMIE KARET BAKME,JL. TERUSAN SEKOLAH II NO.29,2024,,,,
8054,32,JAWA BARAT,3273,KOTA BANDUNG,DIMSUM CO,"GG. TERUSAN SOMA 1 NO.5, RT.04/RW.01",2024,,,,
