kecamatan,nama_taman,luas
CIBEUNYING KALER,TAMAN KOMPLEK VILLA ASRI,1978.43
CIBEUNYING KALER,TAMAN LOMBOK,1713.5
CIBEUNYING KALER,TAMAN SIDOLUHUR,1425
CIBEUNYING KALER,TAMAN SURAPATI,1350
CIBEUNYING KALER,TAMAN BATIK TIGA NEGRI,1246.25
CIBEUNYING KALER,TAMAN MERAK,1021
CIBEUNYING KALER,TAMAN RW.02 KEL. NEGLASARI,220
CIBEUNYING KALER,TAMAN TITIRAN,210
CIBEUNYING KALER,TAMAN SUPRATMAN/WARGA,175
CIBEUNYING KALER,TAMAN SUDUT SUCI,116
CIBIRU,TAMAN JALUR CIBIRU,3312
CIBIRU,TAMAN PULAU JALAN CIBIRU III,1965
CIBIRU,TAMAN PULAU JALAN CIBIRU II,1438
CIBIRU,TAMAN PULAU JALAN CIBIRU V,693
CIBIRU,TAMAN PULAU JALAN CIBIRU I,676
CIBIRU,TAMAN PULAU JALAN CIBIRU IV,325
CIBIRU,TAMAN RW.03 KEL. CISURUPAN,140
CIBIRU,TAMAN RW.05 KEL. PALASARI,120
CICENDO,TAMAN GOR PADJADJARAN,5745.07
CICENDO,TAMAN LAPANGAN OLAH RAGA MAHMUD,5330
CICENDO,LAPANGAN JATAYU,4666.5
CICENDO,LAP. KEMBAR EMPAT,4488
CICENDO,TAMAN PENDAWA,3861.74
CICENDO,TAMAN DR. OTTEN 1,3171.08
CICENDO,TAMAN DR. HATTA,2808.07
CICENDO,TAMAN ABD. RACHMAN SALEH,1959.06
CICENDO,TAMAN ADIPURA,1865.3
CICENDO,TAMAN LESMANA,1844
CICENDO,TAMAN DR. CIPTO,1709.18
CICENDO,TAMAN MONUMEN KTT NON BLOK,1526.73
CICENDO,TAMAN PANDU GEREJA,988
CICENDO,TAMAN CURIE,974.04
CICENDO,TAMAN DR. RAJIMAN,895.5
CICENDO,TAMAN SUPADIO I,858.75
CICENDO,TAMAN ABDUL RIVA'I,671.7
CICENDO,TAMAN NURTANIO (JALUR),567.75
CICENDO,TAMAN BIMA,555
CICENDO,TAMAN PATUNG HUSEIN,518.25
CICENDO,TAMAN BROUNSWEIGH,490.25
CICENDO,TAMAN SUPADIO II,431.5
CICENDO,TAMAN ERLIGH,391
CICENDO,TAMAN SUDUT KEBON KAWUNG/PASIRKALIKI,362.7
CICENDO,TAMAN ARJUNA/PENDAWA,341.4
CICENDO,TAMAN BUNDERAN ARJUNA,225
CICENDO,PULAU JALAN WESTHCOOP I,183.06
CICENDO,PULAU JALAN WESTHCOOP II,137.5
CICENDO,TAMAN BIMA/KRESNA,117.45
CICENDO,TAMAN PANDU/PADJADJARAN,82.25
CICENDO,TAMAN DR. OTTEN 2,58
CIDADAP,TAMAN CIUMBULEUIT 2 (TAMAN KOLAM),5120
CIDADAP,TAMAN RANCABENTANG,2198.98
CIDADAP,TAMAN HEGARMANAH LAPANG VOLLI,1576
CIDADAP,TAMAN HEGARMANAH TUGU,587.6
CIDADAP,TAMAN SANIROSA,135
CIDADAP,TAMAN CIUMBULEUIT 1,78.5
CIDADAP,TAMAN HEGARMANAH TENGAH,70
CIDADAP,TAMAN HEGARMANAH,0
CINAMBO,JALUR SAMPING UTARA,3628
CINAMBO,TAMAN DEPAN PASAR,895
CINAMBO,TAMAN PULAU JALAN GEDEBAGE,568
CINAMBO,TAMAN SAMPING BARAT (DEPAN MESJID),441
CINAMBO,JALUR DEPAN PASAR,213
CINAMBO,TAMAN RW. 03 KEL. BABAKAN PENGHULU,200
CINAMBO,TAMAN RW. 05 KEL. RANCABOLANG,200
COBLONG,TAMAN MONUMEN PERJUANGAN RAKYAT JABAR,83100
COBLONG,LAPANG LEBAK SILIWANGI,71568.13
COBLONG,KEBUN BINATANG,35874.67
COBLONG,TAMAN BABAKAN SILIWANGI,23052
COBLONG,TAMAN GANESHA,9612
COBLONG,TAMAN JL. TEUKU UMAR,3614
COBLONG,TAMAN HASANUDIN,3400
COBLONG,TAMAN DAGO ATAS,2760
COBLONG,TAMAN EKS SPBU CIKAPAYANG,2490
COBLONG,TAMAN HEWAN,2456
COBLONG,TAMAN TILIL,2422.06
COBLONG,TAMAN PANATAYUDA,2387
COBLONG,JALUR DAGO,2156
COBLONG,TAMAN GELAP NYAWANG,1656.4
COBLONG,TAMAN BAGUSRANGIN,1560
COBLONG,JALUR SETIABUDI - CIHAMPELAS,965
COBLONG,TAMAN SINGAPERBANGSA,800
